Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1650506977837,21/04/2022 02:09:37,1650506977677,-5,20/04/2022 21:09:37,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,BEGIN QUESTIONNAIRE,
2,1650507109309,21/04/2022 02:11:49,1650507108791,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-1,18-24 years old
3,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-1-quantised,3
4,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-2-hour,00
5,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-2-minute,00
6,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-3,"""Yes! Please protect my expensive trip for $30"""
7,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-3-quantised,1
8,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-4,flight insurance 
9,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-5-hour,00
10,1650507109465,21/04/2022 02:11:49,1650507108822,-5,20/04/2022 21:11:48,86280,3,questionnaire-j7ji,,21399409,BLIND,6330695,,complete,,,mobile,Apple iPhone,iOS 15.4,Mobile Safari 15.4,375x812,375x595,,Ethics Dark Patterns,4,No,response-5-minute,00
